mos,fr
A zĩnda kaandr n yaool n kul sɩda.,Elle habitait ici et puis elle s'est mariée.
"Hal tɩ ta kaanẽ, Sẽn-Ka-Saab sõnga tõndo.",Jusqu'ici le Seigneur nous a secourus.
Ba-kaare.,Chien au pelage blanc.
Kaarɩsa! M yam ya n yi!,C'est dégoûtant !
A pãba biigã t'a kaasdẽ.,Elle a frappé l'enfant et il pleur.
B pãb-a-la ne kaase.,On l'a frappé avec un fouet.
Kabg koomã n kõ-ma.,Donne-moi un peu de l'eau.
Fo sẽn tar kabl-kabl woto wã fo na n tõog n paka roogã?,"Si tu agisse ainsi dans l'agitation, est-ce que tu pourras ouvrir la chambre ?"
A sẽbga maam wĩir tɩ m kabl n loke.,Il m'a lié avec des cordes et je me suis débattu pour me libérer.
Y kabr tɩ m looge.,"Excuse, je vais partir."
"Y kabse, la b na pak tɩ y kẽ.","Frappez à la porte, et l'on vous ouvrira."
Kada soabã la m data.,C'est celui-ci que je veux.
"... tɩ pʋ-peelem sã n kaẽ, ned ka tõe n yã Zu-soabã ye.",Sans sainteté personne ne peut voir le Seigneur. (Hébreux 12:14)
Fo reemda ne maam kae?,"Donc, tu joues avec moi ?"
"Rʋk sãn kaeed kɛgre, pʋ-to-ned n tus bugum.","Quand le contenu d'une marmite ne boue que d'un côté, c'est qu'une personne expressément méchante s'est occupée du feu. (proverbe disant : il ne faudra jamais confier un problème à résoudre à qui on ne fait pas confiance.)"
Yellã kell n paa woto kafaabo.,L'affaire reste comme ça sans suite.
"Kak sẽn tũ zĩig ning n kẽ wã, a tũuda be n yi.","Par où le bracelet est passé pour entrer, il y ressortira. Proverbe"
A kaka biigã t'a yãbda.,Elle a tapoté l'enfant qu'il a pleuré.
A geta kal-kale.,Elle a regardé en larmoyant.
Bas wil-kãng la f kal a to.,Laisse cette branche et passe à l'autre.
Kall t'a wa.,Il faut qu'il vienne.
Yel-kãngã sɩd yaa kall ne maam.,Cette affaire est vraiment un casse-tête pour moi.
Piisã ne bʋʋsã kalma taaba.,Des moutons et des chèvres sont mélangés.
Ned kam fãa.,Chaque personne.
Mobil-paall kama.,Voiture complètement neuve.
"Bãmb kamsa b tũud-n-taasã sẽn dag n be koglg a to wã pʋgẽ, wã tɩ b wa sõng-ba.",Ils firent signe alors à leurs associés qui étaient dans l'autre barque de venir à leur aide.
Kams moodã n yõoge.,Rassemble l'herbe pour brûler.
Kao bʋʋdo.,Décider un cas.
Mam baoome tɩ fo ra mii tiiri.,Je croyais que tu sois au courant.
"Naab sã n kao bʋʋdã, goamã saame.","Quand le chef donne son verdict, la discussion est terminée."
No-ra-kaoglgo.,Un gros coq.
M zĩ m yembr kaoko.,Je suis assis tout seule.
bug-raoogã maan kaoo...,le fusil a fait boum...
"«La buudã fãa na n waa yãmb taoor n wa waoog yãmba, yãmb bʋʋdã kaoob sẽn yɩ vẽeneg ne nebã fãa wã yĩnga.»","«Car toi seul es saint, toutes les nations viendront t'adorer, car tes actions justes leur sont clairement révélées.»"
Pag yao kuilb n kaood a gɛnda.,"Le retour (ou le mariage) de la femme est proche, alors, elle casse ses quenouilles. (Proverbe: L'annonce de son mariage pour la fille, ou de la fin du séjour pour l'étrangère mettrait l'une ou l'autre dans ses mauvaises humeurs)"
"Pa so miuusg, pa kaoogd sʋk ye.","Proverbe: Si la galette ne t'appartient pas, il ne faut pas casser la moitié. (sens: On ne doit pas se substituer à qui il revient de prendre des risques)"
Kukur kaoogr zemsa ka-koaad yaamse.,Le moment où la manche de la houe s'est cassé a coïncidé avec la fatigue du cultivateur. (Proverbe: il s'agit d'une opportunité qui se présente au moment où elle était attendue. On dirait qu'elle est la bienvenue.)
M kaoolame t'a na n waame.,Je suppose qu'il viendra.
Sag-kaoolle.,Du tô solide.
Nao-kaoondo.,Pieds cassés.
"M kaoos n yã-f lame, são m yam yi-fu.","Proverbe : «J'ai duré de te voir, vaut mieux que «j'en ai marre de toi»."
A zugu kaoosdame.,Il a des sensations de martèlement dans sa tête.
Pesg kaoosg la lomde.,"Si le cabri vit longtemps, il grossira. Proverbe [équivalent: Petit poisson deviendra grand]"
Yagl f meng n yaool n yagl kapidgu.,"Proverbe : On s'accroche avant d'accrocher une ruche. (sens : avant d'aider autrui, il faut s'assurer que soi-même est solide et ne court aucun risque)."
Bas t'a wa. (tɩ a = t'a),Laisse-le venir.
Saagã karsdame bala.,Il pleut un peu seulement.
Rãamã saa zãng kas-kase.,La bière est complètement fini.
A wẽ-a-la kasa n lubi.,Il l'a terrassé d'un coup sec.
Zabr ka sagb n gũud kasem ye.,"Proverbe : La bagarre n'est pas du tô qu'on attend l'aîné (pour commencer) (sens: si c'est urgent, il faut agir toute de suite)."
Wam-kasemde.,Grande calebasse.
Bi-kasenga.,Enfant aîné.
A wẽe biigã kasɩ.,Il a frappé l'enfant durement.
Tʋʋmdã saa zãng kasɩ.,Le travail est complètement terminé.
saagã sẽn ni wã pɩɩga zakã tɩ lebg kasɩ.,"Quand il a plu, la cour de la maison est nettoyé et propre."
Ra paoog-a t'a yaa kasma.,Ne le méprise pas car il est un aîné.
ninsaan-katembaolengo,Un vaut-rien.
Kato! Ãnda n na n kelg maam?,Oh ! Qui va m'écouter ?
A tʋka yʋʋrã kawɩla.,Elle porte le canari en équilibre sans utiliser les mains.
A wẽ-a-la kã' n lubi.,Il l'a terrassé avec un coup sec et violent.
"Wẽnnaam zoee tõnd yaab-rãmbã nimbãanega, n tẽeg bãmb kãab-sõngã yelle.","Dieu a fait miséricorde à nos pères, ainsi se souvient-il de son alliance sainte."
A kãabame t'a na n waame.,Il a promis qu'il viendra.
Ning-y neb nins sẽn kãabd yãmb wẽngã zut barka.,Bénissez ceux qui vous maudissent.
Baagã wãbda nem-kãado.,Le chien mange de la viande crue.
ges-kãaga,Un regard faisant attention au détail.
a wãba zĩm tɩ kõbr kãamd-a.,Il a mangé du poisson et des arrêts sont restés à travers dans sa gorge.
Mo-kãamd la b tar n pind doto.,On couvre les huttes avec de la paille tressée.
Kambã tonga kãan-zʋʋre n kẽed karen-doogẽ wã.,Les enfants s'aligne un après l'autre pour entrer en classe.
Tẽng-n-ned kãar sãoo sãan nenga.,La nuque de l'autochtone vaut mieux que le visage d'un étranger. (Proverbe: toute affaire qui concerne une connaissance trouvera un dénouement heureux pendant que celle de l'étranger souffrira.)
Rɩɩbã kãbgame.,La nourriture est cramé.
A rɩɩ sagbã n ka kãbg maam ye.,"Il a mangé du tô, mais il ne m'a pas invité."
Biigã lebga kãdemde.,L'enfant est devenu solide.
A kẽnga kãdengẽ n na n tɩ maan a rogem sebre.,Il est allé au bâtiment administratif pour faire son certificat de naissance.
Raoog n kãdg a nugã.,C'est un bois qui a égratigné sa main.
A bɩɩme n kãdge.,Il a mûri et a atteint la pleine maturité.
Kãe n gomd ne fo?,Qui parle avec toi?
"Y sã n zab n tõog bũmb fãa, yãmb na yals kãenkãe.","Après avoir combattu jusqu'à la fin, vous tiendrez encore fermement votre position."
Tʋʋm-kãense.,Ces travaux.
Weoogã kãgame tɩ ka tõe n loog ye.,"La brousse se densifie, on ne peut pas passer."
A wãbe zĩm tɩ kõbr kãgemd-a.,Il a mangé un poisson et un arête lui est reste' à travers dans la gorge.
"Katr sã n pa paam kãgr-sõngo, a pa yõkd bʋʋg ye.","Si l'hyène n'avait pas bénéficié de bon bosquet, elle n'attrapera pas de chèvre. (Proverbe: quand un forfait est commis, l'auteur a toujours bénéficié soit de moyens, soit des complicités. Cet état de fait est à combattre)"
Kãms biigã t'a wa.,Appel l'enfant qu'il vient ici. 
Bi-kãngã yii yɛ?,Cet enfant là vient d'où ?
Bi-kãngã wã yẽ yii yɛ?,"Cet enfant ci, il vient d'où?"
Lombrã kãgendame.,La cloche sonne.
"Kãnkãe sã n be taoore, yol-yol n pʋgde.","S'il y une situation difficile qui vous attends, c'est la paix qui lui succède. (proverbe: quel que soit le désespoir qui nous anime, on doit garder espoir et confiance que la situation deviendra comme on l'aspire et la souhaite.)"
Kãnkãr ra wɩd a moog tɩ b fãa zãng yaa rʋda.,"La tige de mil ne doit pas critiquer l'herbe parce qu'elles comportent toutes des noeuds. (Proverbe: quand quelqu'un a des défauts, des insuffisances, il lui est difficile de critiquer les défauts des autres car il n'en est pas exempte. Il lui faut corriger ses propres défauts avant de pouvoir critiquer les fautes des autres)"
bi-kãongo,cet enfant
"M ma kambã sʋka, maam la kãoogo.",Parmi les enfants de ma mère je suis le dernier.
Pʋg-kãoogo.,Femme sans avoir eu des enfants.
Kãsem yaa tãmpʋʋr sagdo.,Proverbe : L'aîné est un dépotoir. (Il doit supporter tout le monde)
Wam-kãsemde.,Une grande calebasse.
Ko-kãsenga.,"Océan, mer (grande eau)."
Wĩirã kãsgame.,La corde est rompue.
Ra paoog kãsma yaa f me na n wa yɩ kãsma.,Il ne faut pas manquer du respect à l'aîné car tu le deviendras. (Proverbe: on doit avoir du respect pour ses supérieurs afin de donner le bon exemple)
Taan-kãsre.,Karité vert.
Nem-kãtemde.,Viande robuste
Ro-kedbre.,Case penchée.
Kedemd bilf tɩ m looge.,Bouge-toi un peu pour que je passe.
Kedg n ges f poorẽ.,Tourne-toi et regarde derrière.
Kedem la f bas weere.,Bouge et laisse la place.
B keega tɩɩgã.,Ils ont coupé l'arbre.
Y rɩka wamã n keelg taaba.,Vous avez mis les calebasses côte à côte.
A keemame.,Il est en bonne santé.
Pʋg-yãang keema a but wõdb raare.,"La vieille femme est dynamique le jour de la préparation de son beurre de karité. (Proverbe: chaque fois que les intérêts d'une personne sont en jeu ou qu'une situation la préoccupe au premier plan, elle fera preuve d'une abnégation et d'un dynamisme plus accrus que d'ordinaire.)"
Bõn-kegemde.,Chose solide.
Nebã kẽnd n kekd taaba.,Les gens se cognent l'un l'autre.
"Liuul kelem n bool saag, la a na yoog a zugẽ.","L'oiseau a crié pour implorer la pluie, et il la subira jusqu'à la fin. (Proverbe: quand une personne provoque une situation, elle en assurera les conséquences même lorsqu'elles seront pénibles)"
A kelgda m biigã yelle.,Elle s'occupe de mon enfant.
M kelgda sõama.,J'écoute bien.
A rɩɩ sagbã tɩ kelle.,Il a mangé du tô et il en reste.
A kell n ka wa ka?,Il n'est pas venu ici malgré tout ?
Kell n ko tɩ nan ka sɛ ye.,Continue de cultiver car ce n'est pas encore terminé.
Sagbã kell la a kõ biigã.,Il a donné le reste du tô à l'enfant.
Baag n dũm-a t'a kelemdẽ.,Un chien l'a mordu et il pelure.
Ki wã ligd kengame.,Le mil est devenu plus cher.
A tʋmame tɩ b keo-a.,Il a travaillé et on l'a rémunéré.
A Zã keooga yẽnda t'a ra gom bõn-kãng ne ned ye.,Jean lui recommanda de n'en parler à personne.
Tʋʋm-sõng tara keoore.,Un bon travail mérite une récompense.
A karg n zabd t'a keoosdẽ.,Sa jambe fait mal et il boite.
Zĩ-keorengo.,Endroit dur.
F tʋma sõma la kesga bilfu.,Tu as bien travaillé mais raté un peu.
Ket n ka sek ye.,Ce n'est pas encore suffisant.
Keta bilfu.,Il en reste un peu.
M kẽedame.,J'entre.
Pa kẽ bãong pa kɩɩd pʋg wiy ye.,Quand on n'est pas circoncis / excisé. on ne balafre pas le ventre (Proverbe; Il faut réussir l'étape inférieure pour espérer réussir l'étape supérieure))
A kẽbga kaafã.,Il a coupé le mil.
Biigã kelma kẽddd...,L'enfant a crié longtemps.
Ned fãa kẽebda a sẽn ko.,Chacun récolte ce qu'il a cultivé. (Proverbe: chacun est récompensé par le fruit de ses actions)
"Katr yeelame t'a sã n tẽeg a zaamẽ rɩ-kʋda, a kẽeda tẽng ne wĩndga.","L'hyène dit que si elle se rappelle de ses vieux plats d'hier, elle rentrera au village en pleine journée. (proverbe: on doit s'adapter aux changements qui ont lieu au cours de la vie et cesser de vivre dans les illusions de ses souvenirs agréables)"
ka yaa mam zag-kẽedre.,Ici c'est l'entrée de ma maison.
Fu-kẽega.,Habit vert.
Fu-kʋdgã kẽegame.,Le vieux habit est déchiré.
Yaa yẽ n kẽem tõnd fãa.,C'est lui qui est le plus âgé de nous.
A tara sam-kẽenga.,Il a une dette immense.
Neb-kẽere.,Certains gens.
Kẽes noosã,Fais entrer les poules.
A kẽgsda a ki.,Il épargne son mil.
A naga zomã n bas tɩ kẽk t'a maan zom koom.,Elle a malaxé la farine et la laisse altérer pour faire du «zom koom» (pour boire).
A kẽka maam tɩ m ka tõe n vʋʋs ye.,Il m'a étrangle que je ne pouvais plus respirer.
Yik pĩnd são kẽn- fãoodem.,"Se lever tôt vaut mieux que la précipitation. (Proverbe: lorsqu'on entreprend un voyage et qu'on est trop pressé, on peut rencontre des désagréments de toutes sortes)"
Ne y kẽnd-kẽnde.,Bonjour (à vous qui marchez).
Da rɩk-y bũmb y kẽndã yĩng ye.,Ne prenez rien pour le voyage.
"Kẽ n pa gõe, kẽndame tɩ zĩig yẽege.","Quand on va au lit et qu'on n'arrive pas à dormir, on marchera jusqu'au matin. (proverbe signifiant: une préoccupation peut engendrer une autre / il faut faire l'effort de rester serein et d'avoir le sang froid.)"
Pagã kẽndame.,La femme marche.
Kẽng ne biigã tɩɩm doogã.,Amène l'enfant au dispensaire.
B kẽnga raaga.,Ils sont partis au marché.
Wãkã rɩɩme n kẽre.,La daba s'est usée.
Wãg-kẽrga.,Houe usée.
B kɛɛda tɩɩg ning fãa sẽn ka womd bi-sõama.,Tout arbre qui ne produit pas de bons fruits est coupé. 
Ned ka zao will la a kɛɛd-a ye.,On ne coupe pas la branche sur laquelle on est assis. (proverbe)
"Bãmb tʋma kɛɛda tɩ rũm bãmba, la loms tɩ sãam bãmba.","Les mouches piquantes qui leur suçaient le sang, et les grenouilles qui dévastaient tout."
"Kɛɛg-wok tara tɩɩm, la kɛɛg-koɛɛg ka tar tɩɩm ye.","Ce qui est coupé long a un remède (peut être réajusté), mais ce qui est coupé court n'a pas de remède. (proverbe: il faut prévoir de façon à ne pas rencontrer des difficultés au moment des réalisations)"
"Kɛɛg-wok tara tɩɩm, la kɛɛg-koɛɛg ka tar tɩɩm ye.","Ce qui est coupé long a un remède (peut être réajusté), mais ce qui est coupé court n'a pas de remède. (proverbe: il faut prévoir de façon à ne pas rencontrer des difficultés au moment des réalisations)"
A kɛɛga tɩɩgã ne karentɛ.,Il a coupé l'arbre avec la machette.
Koomã kɛɛgame.,L'eau a bouilli.
Yibeoog kɛɛma?,Comment ça va ce matin?
b bee be kɛɛnga.,"A vouloir se voir en aparté, on finit au milieu de la foule. (Proverbe: tant que tout va bien entre les parties, elles peuvent tout cacher aux gens. Mais lorsqu'il y aura des disputes et que la situation se dégénérera, les gens seront au courant.)"
Nemdã yaa kɛɛnga.,La viande est dure (à mâcher).
B yiyã kɛga taaba.,Leurs maisons sont à côté l'une de l'autre.
Noaagã yaa nao-kɛgelle.,Cette poule est une poule qui n'est pas normale.
Yel-kɛgenga.,Chose difficile.
Kɛgl rʋgdã taaba.,Mets les pots l'un à côté de l'autre.
Tʋʋm-kɛgre.,Travail incorrect.
Kɛma a yiib sãgs n noome.,"On joue à deux castagnettes, parce que c'est plus intéressant. (Proverbe: il est toujours plus intéressant d’être à plusieurs que d’être dans la solitude.)"
Yaa woto kɛpɩ.,C'est tout juste comme ça.
Bugmã kiime.,Le feu s'est éteint.
Y yĩns kibare?,Comment allez-vous?
A kibg zãnde.,Il a bâti un hangar.
Kibl biigã.,Surveille l'enfant.
Sũma ka rʋg sõama tɩ kidbi.,Les pois de terre ne sont pas bien cuits ils sont encore durs.
Kamaan-kidba.,Du maïs dur (ne pas bien cuit).
Raag kiib togsda a tilgr daare.,"L'interdit du marché se dit le jour de son implantation. (proverbe disant: on fixe les règles du jeu dès le départ, chaque partie doit connaître ses droits et ses obligations pour éviter des situations conflictuelles)"
Pa ta kʋɩlg n yõng koom kiida ko-yũudu.,"Qui n'arrive pas au puits puiser de l'eau, mourra de soif. (proverbe indiquant: il faut éviter de diffuser des faux rumeurs, des mensonges etc.)"
Kiig koomã.,Verse l'eau.
"La b rag n ka tar biig ye. Bala, a Elizabɛt da yaa kiiri.","Mais ils n'avaient pas d'enfant, parce qu'Élisabeth était stérile."
Kiis bugmã.,Éteins le feu
Tɩɩm pa sat killẽ ye.,La gourde contenant un gri-gri ne tarit pas. (Proverbe: l'homme ne doit pas accepter de perdre toute chose de valeur qu'il a jusqu'à la source. Il doit veiller à garder cette source qui lui permettra de produire ou reconstituer cette même chose.)
A tõe n kilmame n lebg katre.,Il peut se transformer en une hyène.
"F sã n sao n kẽng taoor n ka yãnd kilsg, bɩ f ra le sao n wa poorẽ ye.","Si tu danses en avançant sans être applaudi, il ne faut pas danser pour repartir en arrière. (Proverbe: quand quelqu'un livre sa prestation à un publique qui n'adhère pas, il doit se remettre en cause et s'améliorer. Il ne faut pas persister dans la médiocrité.)"
Kils-y naabã!,Acclamez le roi !
Nag-kiri.,Vache stérile.
Hat yaa kirisned vʋʋsem daare.,Le dimanche est le jour de repos des chrétiens.
Yaa bũmb sẽn kisi.,C'est une chose interdite.
Ned sẽn nong a meng pa kis a to ye.,"Qui est fier de soi-même ne méprise personne. (Proverbe: Le mépris envers sa propre personne ne peut que conduire au mépris des autres. Par conséquent, chacun doit être fier de sa personne.)"
A zoet kiu-kiu.,Il court hop hop.
Sagbã yaa kiuglg.,Le tô est consistant.
Tõnd buudã kiusg yaa yẽbg nemdo.,L'interdit de notre clan est la viande de crocodile.
"B kĩi ne taaba, b yaa ma-biisi.","Ils sont apparenté, ce sont des frères."
Kugr lʋɩ kĩ'.,La pierre est tombée «boum».
Biigã yãbdame n kĩgsdẽ.,L'enfant pleure en sanglotant.
Kĩin a yiib pa pag n mi zẽed ye. / Kĩin a yiib pa pag nug n noom ye.,"Si une sauce préparée avec deux pintades est bonne, ce n'est pas forcement parce que la femme qui est une bonne cuisinière. (proverbe: quand toutes les conditions nécessaires d'une situation sont réunies, il y aura incontestablement du succès au bout du compte)"
A laadame n kĩkdẽ.,Il se secoue de rire.
A paga roogã kĩm-kĩmi.,Il a totalement fermé la chambre.
Bũmbã yaa bãooneg kĩm-kĩmi.,Cette chose est tout petite.
Roogã noor paga kĩma.,La porte s'est fermé avec un bruit brusque «boum».
M ba-biig yaa mam kĩninkĩiga.,Mon cousin /frère est mon parent.
koomã yaa maasg kĩninnn...,L'eau est très froide.
Kɩ baafã ka n loe bʋʋgã.,Enfonce le piquet et attache la chèvre.
Ned pa ningd a kɩb-kɩt yãnd ye.,On ne doit pas honnir son informateur. (Proverbe: il faut protéger ses sources d'information et entretenir la confiance.)
Fo kɩbda yɛ?,Où vas-tu ?
Kãand kɩbgda ne kãan-sʋʋg tɩ lebg wama. Wam wãadga.,Il a coupé le fruit du calebassier et en a fait deux calebasses.
A yiisa kom-kɩdb a yiib tɩ b wa sõng-ma.,Il a fait sortir deux enfants forts pour venir m'aider.
buglunvãrã kelma kɩddd...,Le taupe-grillon crie d'un son strident et continue.
"A tʋbã kɩdame, t'a ka wʋmd sõama ye.",Ses oreilles sont bouchées ainsi il n'entend pas bien.
"Pʋg-sad na kɩdem, bɩ a sok a pʋgdba.","Si la fille exulte, qu'elle demande à ses tantes. (Proverbe: quelle que soit la joie que l'on a, on doit s'en réjouir avec modération car nous ignorons ce que demain nous réserve.)"
Bi-kɩdga.,Petit enfant.
Bul-kɩdga.,Puits peu profond.
Fo na n paama sũ-noog n kɩdme.,Tu te réjouiras beaucoup.
"F sã n pa yãk f kɩgbr gõaaga, f pa tõe n yãk f naoor gõaag ye.","Si tu n'enlèves pas l'épine de ta fesse, tu ne pourras pas enlever l'épine de ton pied. (Proverbe: celui qui n'a pas pu s'occuper de ses propres problèmes ne pourra pas le faire pour une tierce personne.)"
Ra bas tɩ kɩɩm kẽ roogẽ tɩ f yaool n pag ye.,"Il ne faut pas attendre que le fantôme rentre dans la case avant de fermer. (Proverbe: pour éviter que quelque chose ne se produise, il faut s'y prendre à temps.)"
Nemd tõe n kɩɩmame.,On peut frire la viande.
A kɩɩmda piisi.,Il s'occupe des moutons.
"F sã n ka mi tẽng kɩɩmse, f ka wẽed a bendr ye.","Si tu ne connais pas les mânes du village, tu ne bats pas son tambour. (Proverbe: sens: Étant étranger, il faut vivre conformément aux lois et règles du pays hôte)"
Ra wãb-y rũm-kɩɩng nemd ye.,Ne mangez pas la viande d'un animal crevé.
Naoor sẽn kɩɩs a to la wobendo. / Nao kɩɩ taab la wobendo.,"C'est des désaccords des pieds que naît l'infirmité. (Proverbe: dans toute situation impliquant diverses parties, lorsqu'il y a des incompréhensions, des disputes, des querelles pour une raison ou pour une autre, la cause pour laquelle les parties se sont retrouvées ne sera pas bien défendue.)"
B kɩɩsame tɩ ka sɩd ye.,Ils ont nié que ce n'est pas la vérité.
Kɩɩsg gomde.,Phrase négative.
"Yẽ n wʋm yellã, n kɩk maam.",Il a entendu le problème et m'a informé secrètement.
A paa kɩla.,Il est resté intact.
kɩlem yaa rɩ-koosdem buud fãa.,Des plats sont toute sorte de nourriture venue.
Yʋʋrã kɩllame.,Le canari est penché.
Sor kɩrenga.,A côté du chemin.
Da kɩs kaset sẽn ya zirẽ n dõd f to ye. ,Tu ne porteras pas de faux témoignage contre ton prochain.
Kɩs Wẽnd sɩda.,Fais confiance en Dieu.
A kɩsa maam ligdã.,Il m'a remis l'argent.
M kɩta yẽnda.,Je rends à lui.
A na n kɩsga kuku-raoogã.,Il va castrer le cochon mâle.
Wẽnnaam dag n kɩtame tɩ tɩɩs yi.,Dieu a fait que les arbres poussent.
Begdã kɩʋʋlame.,La boue est devenu dure.
Nug-kɩʋʋlle.,Main durcie.
Koob sẽn ya rɩɩb yĩnga.,Culture destinée à la consommation.
Koom beeme tɩ ko-sʋk beẽ.,"L'eau existe et l'eau profonde existe. (Proverbe: la renommée, l'autorité, la puissance économique, les difficultés, les dangers etc. sont différents de par leur importance selon les individus, les régions, les pays et les continents, ce qui fait aussi la différence des individus, des régions et des pays."
Koom sẽn na n kiis bugum pa baood ko-yɩlemd ye.,"L'eau pour éteindre du feu n'a pas besoin d'être propre. (Proverbe: lorsqu'on est face à une urgence, tout ce qui peut concourir à résorber la situation est souhaitable. Comme quoi, la fin justifie les moyens.)"
"Ko-zoetmã zoeeme n wẽ roogã, la a ka tõog n miim-a ye.","Un torrent s'est rué contre cette maison, sans être capable de l'ébranler."
A wẽe kʋɩlengã koa-koa.,Il a frappé à la porte «toc-toc».
Bẽ-koaaga.,Bouillie peu consistante.
Nangur-n-koaasã zĩig la ka.,Ici est la place du veneur d'arachides.
Bars-toog vẽnegda koaasd yam.,"A trop marchander, on finit par éveiller la vigilance du marchand. (Proverbe: il faut un compromis. Il faut que chaque partie soit raisonnable, sinon il n'aura pas de transactions)"
Ned gãag soab n gʋsd a koadenga.,"C'est votre hôte qui déplume votre perdrix. (Proverbe: quand des gens sont ensemble, chacun profite de l'autre)"
Ko-koaka.,Élévation pour retenir l’eau.
Lʋn-koatga pa wẽed n põomdedẽ ye.,"On ne doit pas battre avec zèle un tambour d'aisselle emprunté. (Proverbe: quand on emprunt quelque chose à quelqu'un, on doit prendre soin de cette chose afin de pouvoir la retourner en bon état)"
Yaa kobsi.,C'est 1000 francs CFA.
A kodge noaagã.,Il a égorgé la poule.
"Kodgr sã n ta boɛɛg, bɩ a nak a lemde.","Quand le tour du bouc d'être égorgé arrive, qu'il soulève son menton. (Proverbe: quand le tour de quelqu'un arrive d'assumer des responsabilités, de faire quelque chose, il doit s'exécuter convenablement.)"
Gũus f meng koe ! A ka wa koe?,"Fais attention, c'est sérieux ! Il n'a pas venu, hein ?"
Tõnd koe-zugã yaa «Pag ne sɩda vɩɩm».,Notre thème est «La vie du couple.»
Zu-koebelle.,Tête dépourvue de cheveux.
Zĩ-koeelle.,Endroit sec.
"F sã n wa mik tɩ mood lebg koeese, bɩ f zõond n wʋre.","Si tu te rends compte que les herbes sont devenues courtes, il faut te courber pour faucher. (proverbe, si tu viens en retard, tu dois te contenter avec des restes)"
Mam gʋlsa yãmb seb-koɛɛga.,Je vous ai écrit une courte lettre.
Zĩ-koɛɛga.,Endroit sec.
Fo koga woto n dabd yɛ?,"Tu es paré comme ça, où vas-tu ?"
b yɛgda mui wã pĩig yug n yaool n bao raad n kogl tɩ ra sãeeg ye.,Que Dieu te protège.
"Yaa gɛl ne waooga, kogendame la pa wãad ye.","Ce sont des œufs dans une outre, ça fait du bruit mais ça ne se casse pas. (proverbe, sens: une dispute ne signifie pas encore la rupture)"
A pʋgã koglemdẽ.,Son ventre gargouille.
"Tar gãongo, n kogsd wẽng soabã pɛɛmã fãa.",Tiens le bouclier pour parer toutes flèches du malin.
Roogẽ wã yaa tʋʋlg t'a yi n na n kok pemsem.,Il fait chaud dans la chambre et il est sorti pour prendre de 'air fraîche.
Kok biigã t'a na n lʋɩɩme.,Attrape l'enfant si non il va tomber.
B baoo barg n kok a zugã.,On rase sa tête avec une lame.
A Zã yõka yẽnda n sog a kokoɛy wã n yeel-a: «Yao maam m samdã.»,"Jean le prit à la gorge et le serrait à l'étrangler, en lui disant : «Rends tout ce que tu dois.»"
M kolga tẽngã noorẽ.,Je me suis approché de la ville.
"Pademd noor yita kolkood, pademd noor pa yit zɩɩm ye.","La bouche de celui qui balbutie sort de la salive, la bouche de celui balbutie ne sort pas du sang. Proverbe (On parle beaucoup pour se défendre et atténuer la culpabilité.)"
Rɩ tɩ yãag pa rigd beoog kom ye.,"Manger à dépasser la capacité de son ventre n'empêche pas qu'on ait faim le lendemain. (Proverbe: la gestion rationnelle de nos ressources, qu'elles soient abondantes ou pas est d'une nécessité incontestable.)"
Rɩt n pa tɩgd n wa kẽ kom-gãaga.,Manger sans être rassasié et se mettre à dormir sans manger. (proverbe: une situation désagréable peut se dégrader encore)
Komindi yaa kãdenga meer sẽn so.,Territoire dirigé par un maire.
Tʋʋm-kidbã n koms-a.,Le travail dur l'a affaibli.
B kaoo bʋʋdã n yet tɩ fo n kong bʋʋm.,Ils t'ont jugé coupable.
Noor soab ka kongd sor ye.,Qui a une bouche ne manquera pas de trouver son chemin. proverbe (sens: on ne doit pas hésiter à s'informer)
Tar m yam n kood maan-dẽenga.,"‹Je suis avisé›, c'est pour cela que je cultive le gombo précoce. (Proverbe: lorsque quelqu'un échoue à atteindre ses objectifs ou a été victime d'une situation donnée, il doit prendre conscience de ses erreurs, tirer les leçons de la situation pour atteindre ses objectifs ou pour éviter d'être victime la prochaine fois)"
Zĩ-koodre.,Endroit cultivable.
Nangur-koodo.,Arachides qui ne sont pas mûres.
kool f nao wã la f bas sore.,Plie tes jambes et laisse le passage libre.
Tõnd pa rengd wʋʋg n lʋɩ koomẽ ye.,"Nous ne devançons pas le varan du Nil dans l'eau. (Proverbe: en toute circonstance, on doit faire preuve de retenue et de maîtrise de soi. On doit attendre de réunir toutes les preuves de son action pour se donner toutes les raisons et toutes les preuves. La précipitation fait perdre toute raison même pour celui qui aurait raison)"
Mam yaa pĩ koosda.,Je suis un vendeur de nattes.
Tab-noog n koosd a menga.,Le bon tabac se vend de lui-même. (Proverbe: la bonne marchandise trouve facilement un acheteur)
Yãmb koosda bõe?,Que vendez-vous ?
Ned n koosd roogã noore.,Quelqu'un frappe à la porte.
M kota koom.,Je demande de l'eau (à boire).
"Wẽnnaam leoka pagã kosgo, la a rɩka pʋg n dog bi-ribla.",Dieu a exhaussé la requête de la femme et elle a accouché un garçon.
Bẽerã kaeeda kot-kot.,La bouillie bout «brou-brou».
"Karen-saamba, m kot-y lame tɩ y ges m bi-riblã.","Maître, je t'en prie, porte les regards sur mon fils."
M kõta foo ligdi.,Je te donne de l'argent.
Kõ n paas pa wẽ n paas ye.,"Donner davantage n'est pas frapper davantage. (Proverbe: il n'est jamais de trop pour bien faire et toute personne doit être encline à toujours faire du bien. Par contre, il ne faut pas empirer une situation.)"
